id_usuario,home,pesquisou_produto,visualizou_detalhes,acessou_faq,acessou_ofertas,adicionou_carrinho,finalizou_compra,codigo_compra,valor_total
USR1000001,1,1,1,0,1,1,0,,
USR1000002,1,1,1,0,1,0,0,,
USR1000003,1,1,0,1,1,0,0,,
USR1000004,1,1,1,0,0,0,0,,
USR1000005,1,0,0,1,0,0,0,,
USR1000006,1,0,0,1,0,0,0,,
USR1000007,1,1,0,0,0,0,0,,
USR1000008,1,0,0,0,0,0,0,,
USR1000009,1,1,1,1,0,0,0,,
USR1000010,1,0,0,0,1,1,0,,
USR1000011,1,1,0,1,0,0,0,,
USR1000012,1,1,0,1,0,0,0,,
USR1000013,1,1,1,0,0,1,1,CMP152372,1597.88
USR1000014,1,1,0,1,0,1,0,,
USR1000015,1,1,0,0,0,0,0,,
USR1000016,1,0,0,0,0,0,0,,
USR1000017,1,1,0,1,1,0,0,,
USR1000018,1,1,1,1,0,1,0,,
USR1000019,1,1,1,0,0,1,1,CMP114754,4817.98
USR1000020,1,1,0,0,0,0,0,,
USR1000021,1,1,0,1,1,0,0,,
USR1000022,1,0,0,0,0,0,0,,
USR1000023,1,1,1,1,0,1,0,,
USR1000024,1,1,1,0,0,1,1,CMP162026,1786.61
USR1000025,1,1,1,0,0,1,1,CMP147335,4110.36
USR1000026,1,1,0,1,1,0,0,,
USR1000027,1,1,1,0,1,0,0,,
USR1000028,1,0,1,0,0,0,0,,
USR1000029,1,0,0,1,0,0,0,,
USR1000030,1,0,1,1,0,1,0,,
USR1000031,1,0,1,0,0,1,0,,
USR1000032,1,1,1,0,0,0,0,,
USR1000033,1,0,1,0,0,0,0,,
USR1000034,1,0,1,1,0,1,0,,
USR1000035,1,1,1,0,0,0,0,,
USR1000036,0,1,1,0,1,1,0,,
USR1000037,1,0,1,0,0,1,0,,
USR1000038,1,1,1,1,0,0,0,,
USR1000039,1,0,0,0,0,0,0,,
USR1000040,1,1,0,1,0,1,0,,
USR1000041,1,0,1,1,0,0,0,,
USR1000042,0,0,1,0,0,1,0,,
USR1000043,0,0,0,0,0,0,0,,
USR1000044,1,1,0,0,1,0,0,,
USR1000045,1,0,0,0,0,0,0,,
USR1000046,1,1,1,0,0,1,0,,
USR1000047,1,1,1,0,0,0,0,,
USR1000048,1,1,1,1,0,1,0,,
USR1000049,1,0,1,0,0,1,0,,
USR1000050,1,1,1,0,0,0,0,,
USR1000051,1,1,0,0,0,1,0,,
USR1000052,0,0,1,0,0,0,0,,
USR1000053,1,1,0,0,1,1,0,,
USR1000054,1,1,1,1,0,0,0,,
USR1000055,1,0,1,0,1,1,0,,
USR1000056,1,0,1,1,0,1,0,,
USR1000057,1,0,1,0,0,1,0,,
USR1000058,1,1,1,0,0,0,0,,
USR1000059,1,1,1,0,0,1,1,CMP148294,1417.64
USR1000060,1,1,1,1,0,0,0,,
USR1000061,1,0,1,0,0,0,0,,
USR1000062,1,1,0,1,0,0,0,,
USR1000063,1,0,0,0,0,0,0,,
USR1000064,1,0,1,0,0,0,0,,
USR1000065,1,0,0,1,0,0,0,,
USR1000066,1,1,0,1,0,0,0,,
USR1000067,0,0,1,0,0,0,0,,
USR1000068,1,1,1,0,0,1,0,,
USR1000069,1,1,1,0,0,1,0,,
USR1000070,1,1,0,0,0,0,0,,
USR1000071,1,1,1,1,0,0,0,,
USR1000072,1,0,1,0,1,1,0,,
USR1000073,1,1,0,1,0,1,0,,
USR1000074,1,1,1,1,0,1,0,,
USR1000075,1,1,1,0,0,1,1,CMP123898,2990.45
USR1000076,1,1,1,1,0,1,0,,
USR1000077,1,0,0,1,1,1,0,,
USR1000078,1,1,1,0,0,1,0,,
USR1000079,1,1,1,1,0,0,0,,
USR1000080,1,1,0,0,0,0,0,,
USR1000081,1,0,0,1,0,0,0,,
USR1000082,1,0,1,0,0,1,0,,
USR1000083,1,0,1,1,0,1,0,,
USR1000084,1,0,1,1,0,1,0,,
USR1000085,1,1,0,1,0,0,0,,
USR1000086,1,0,1,0,0,0,0,,
USR1000087,1,1,1,1,0,0,0,,
USR1000088,1,1,1,1,0,1,1,CMP213618,1632.1
USR1000089,1,1,0,1,1,1,0,,
USR1000090,1,1,0,0,0,1,0,,
USR1000091,0,0,1,0,1,1,0,,
USR1000092,1,0,1,0,0,0,0,,
USR1000093,1,0,1,0,0,1,1,CMP213665,501.76
USR1000094,1,1,1,1,0,0,0,,
USR1000095,1,1,0,1,0,0,0,,
USR1000096,1,0,0,0,0,0,0,,
USR1000097,1,0,1,1,1,0,0,,
USR1000098,0,0,1,0,0,1,0,,
USR1000099,1,0,0,1,0,0,0,,
USR1000100,1,1,1,0,1,0,0,,
USR1000101,0,0,0,1,1,1,0,,
USR1000102,1,1,0,1,0,0,0,,
USR1000103,1,1,0,1,0,0,0,,
USR1000104,1,1,1,0,0,1,1,CMP133178,4327.49
USR1000105,0,1,1,1,1,0,0,,
USR1000106,1,0,1,1,0,1,0,,
USR1000107,0,1,1,0,0,0,0,,
USR1000108,1,1,0,0,0,0,0,,
USR1000109,1,0,0,0,0,0,0,,
USR1000110,1,1,0,0,0,0,0,,
USR1000111,1,0,0,0,0,0,0,,
USR1000112,1,0,1,1,0,0,0,,
USR1000113,1,0,1,1,0,1,0,,
USR1000114,1,0,0,0,1,0,0,,
USR1000115,1,0,1,1,1,0,0,,
USR1000116,1,0,0,1,0,0,0,,
USR1000117,1,0,1,1,0,1,0,,
USR1000118,1,0,0,1,0,0,0,,
USR1000119,1,1,0,1,0,1,0,,
USR1000120,1,0,0,0,1,0,0,,
USR1000121,1,0,0,0,0,0,0,,
USR1000122,1,1,1,1,0,0,0,,
USR1000123,1,1,0,0,0,1,0,,
USR1000124,1,1,0,0,1,1,0,,
USR1000125,1,1,0,1,0,1,0,,
USR1000126,1,1,0,0,0,0,0,,
USR1000127,1,0,0,1,1,0,0,,
USR1000128,1,0,0,1,0,0,0,,
USR1000129,1,0,1,0,0,0,0,,
USR1000130,1,0,1,0,0,1,0,,
USR1000131,1,1,1,0,0,0,0,,
USR1000132,1,0,1,0,0,0,0,,
USR1000133,1,1,0,1,0,0,0,,
USR1000134,1,1,0,0,0,1,0,,
USR1000135,1,1,0,0,0,0,0,,
USR1000136,1,1,0,1,0,0,0,,
USR1000137,1,0,0,1,0,0,0,,
USR1000138,1,0,0,1,0,0,0,,
USR1000139,1,1,1,0,0,1,1,CMP132382,1812.37
USR1000140,1,1,1,0,1,0,0,,
USR1000141,1,1,1,1,1,0,0,,
USR1000142,1,0,0,0,0,0,0,,
USR1000143,1,1,0,0,0,1,0,,
USR1000144,1,0,0,0,0,0,0,,
USR1000145,1,0,1,1,0,0,0,,
USR1000146,1,0,1,1,0,1,0,,
USR1000147,1,0,0,0,1,0,0,,
USR1000148,1,1,0,1,0,1,0,,
USR1000149,1,1,1,1,1,1,0,,
USR1000150,1,1,1,0,0,0,0,,
USR1000151,1,0,0,0,0,0,0,,
USR1000152,1,0,1,1,1,0,0,,
USR1000153,1,1,1,1,0,0,0,,
USR1000154,1,1,0,1,1,1,0,,
USR1000155,1,1,0,0,0,0,0,,
